8917,PSYC 316,1,Cognitive Psychology,3,NULL,Lec,TR,0930-1045,FORBES 2070C,"Lipatova, Olga",1,Open,2022,Spring
8918,PSYC 316,2,Cognitive Psychology,3,NULL,Lec,MWF,1000-1050,FORBES 2070D,"Rollins, Leslie",0,Closed,2022,Spring
8565,SOWK 401,3,Field Instruction I,6,NULL,Pra,W,1200-1350,MCM 200B,"Russett, Jill",2,Open,2022,Spring
8545,SOCL 314L,2,"Educ, Culture and Society Lab",1,NULL,Lab,W,1500-1615,LUTR 131,"Powell, Linda",9,Open,2022,Spring
8547,SOCL 314L,3,"Educ, Culture and Society Lab",1,NULL,Lab,W,1500-1615,LUTR 137,"Brown, Rebecca",9,Open,2022,Spring
8548,SOCL 320,1,Media and Popular Culture,3,NULL,Lec,MW,1600-1715,LUTR 167,"Waldron, Linda",0,Closed,2022,Spring
8550,SOCL 340,1,Statistics for Social Research,3,NULL,Lec,MWF,1000-1050,LUTR 157,"Harris, Jaime",0,Closed,2022,Spring
8551,SOCL 340,2,Statistics for Social Research,3,NULL,Lec,MWF,1400-1450,LUTR 157,"Harris, Jaime",0,Closed,2022,Spring
8552,SOCL 390,1,Sociological Theory,3,NULL,Lec,MWF,1100-1150,FORBES 3014,"Lewis, Michael",1,Open,2022,Spring
8557,SOCL 491,1,Internship in Sociology,3,NULL,Int,NULL,NULL,ARR ,"Briddell, Laine",0,Closed,2022,Spring
8558,SOWK 201,1,Intro to Soc Work &amp; Soc Welf,3,NULL,Lec,TR,1630-1745,FORBES 2074,"Valutis, Stephanie",23,Open,2022,Spring
8559,SOWK 210,1,Human Behavior I,3,NULL,Lec,TR,0800-0915,LUTR 242,"Valutis, Stephanie",10,Open,2022,Spring
8560,SOWK 301,1,Social Work Practice I,3,NULL,Lec,TR,1330-1445,LUTR 347,"Russett, Jill",7,Open,2022,Spring
8561,SOWK 301L,1,Prac I Lab and Jr Field Inst,2,NULL,Lab,TR,0930-1215,TRIB 208,"Russett, Jill",7,Open,2022,Spring
8562,SOWK 303,1,Social Work Practice III,3,NULL,Lec,M,1800-2045,TRIB 208,"Staff, CNU",7,Open,2022,Spring
8563,SOWK 401,1,Field Instruction I,6,NULL,Pra,M,1200-1350,MCM 300B,"Griffiths, Diane",3,Open,2022,Spring
8564,SOWK 401,2,Field Instruction I,6,NULL,Pra,W,1200-1350,MCM 300B,"Griffiths, Diane",2,Open,2022,Spring
8544,SOCL 314L,1,"Educ, Culture and Society Lab",1,NULL,Lab,M,1100-1215,FORBES 2088,"Powell, Linda",0,Closed,2022,Spring
8566,SOWK 493,1,Methds of Social Work Research,3,NULL,Lec,W,1800-2045,FORBES 2012,"Valutis, Stephanie",0,Closed,2022,Spring
8567,SOCL 501,1,Multicultural Diversity &amp; Educ,3,NULL,Lec,T,1630-1915,LUTR 131,"Baird, Andrew",6,Open,2022,Spring
8569,SOCL 501,2,Multicultural Diversity &amp; Educ,3,NULL,Lec,R,1630-1915,LUTR 131,"Baird, Andrew",0,Closed,2022,Spring
8570,FNAR 117,1,3D Design,3,NULL,Stu,MW,1030-1250,TFAC 119,"Lytle, Ryan",1,Open,2022,Spring
8571,FNAR 118,1,2D Design,3,NULL,Stu,MW,1400-1620,TFAC 325,"Lytle, Ryan",0,Closed,2022,Spring
8572,FNAR 118,2,2D Design,3,NULL,Stu,TR,1400-1620,TFAC 325,"Brahe, Christian",1,Open,2022,Spring
8573,FNAR 121,1,Drawing I,3,NULL,Stu,MW,0800-1020,TFAC 318,"Stephenson, Barbara",0,Closed,2022,Spring
8585,FNAR 227,1,Darkroom Photography,3,NULL,Stu,TR,1030-1250,TFAC 217,"Bavaria, Christopher",0,Closed,2022,Spring
8586,FNAR 227,2,Darkroom Photography,3,NULL,Stu,TR,1400-1620,TFAC 217,"Bavaria, Christopher",1,Open,2022,Spring
8589,FNAR 251,1,Sculpture I,3,NULL,Stu,MW,1400-1620,TFAC 119,"Henry, Gregory",0,Closed,2022,Spring
8590,FNAR 322,1,Figure Drawing,3,NULL,Stu,TR,1030-1250,TFAC 318,"Brahe, Christian",7,Open,2022,Spring
8592,FNAR 334,1,Graphic Design Concepts,3,NULL,Stu,MW,0800-1020,TFAC 228,"Skees, Alan",0,Closed,2022,Spring
8593,FNAR 336,1,Typography,3,NULL,Stu,MW,1400-1620,TFAC 228,"Skees, Alan",0,Closed,2022,Spring
8594,FNAR 351,1,Advanced Sculpture,3,NULL,Stu,MW,1400-1620,TFAC 119,"Henry, Gregory",5,Open,2022,Spring
8524,CRIM 354,1,Policing in the 21st Century,3,NULL,Lec,R,1800-2045,TRIB 208,"Dragon, Stephanie",0,Closed,2022,Spring
8500,LDSP 320,1,Leadership Through the Ages,3,NULL,Lec,MWF,1300-1350,FORBES 3014,"Heuvel, Sean",0,Closed,2022,Spring
8501,LDSP 320,2,Leadership Through the Ages,3,NULL,Lec,MWF,1400-1450,FORBES 3014,"Heuvel, Sean",0,Closed,2022,Spring
8502,LDSP 320,3,Leadership Through the Ages,3,NULL,Lec,MWF,1200-1250,LUTR 137,"Cusher, Brent",0,Closed,2022,Spring
8503,LDSP 320,4,Leadership Through the Ages,3,NULL,Lec,MWF,1000-1050,LUTR 170,"Cusher, Brent",0,Closed,2022,Spring
8504,LDSP 320,5,Leadership Through the Ages,3,NULL,Lec,MWF,0900-0950,TRIB 208,"Tian, Qingyan",1,Open,2022,Spring
8505,LDSP 320,6,Leadership Through the Ages,3,NULL,Lec,TR,1500-1615,TRIB 208,"Callahan, Kathleen",0,Closed,2022,Spring
8506,LDSP 320,7,Leadership Through the Ages,3,NULL,Lec,TR,1330-1445,TRIB 208,"Callahan, Kathleen",0,Closed,2022,Spring
8509,LDSP 337,1,Higher Education Leadership,3,NULL,Lec,MW,1600-1715,LUTR 264,"Callahan, Kathleen",4,Open,2022,Spring
8510,LDSP 340,1,Outdoor Leadership,3,NULL,Lec,MW,1800-1915,LUTR 269,"Redekop, Benjamin",0,Closed,2022,Spring
8511,LDSP 350,1,Leadership in Sport,3,NULL,Lec,TR,1100-1215,LUTR 242,"Shollen, S.",1,Open,2022,Spring
8512,LDSP 359,1,The Mind of a Leader,3,NULL,Lec,TR,1500-1615,LUTR 347,"Harter, Nathan",0,Closed,2022,Spring
8518,ANTH 310,1,Fear and Magic,3,NULL,Lec,TR,1800-1915,LUTR 167,"Palmer, Seth",6,Open,2022,Spring
8521,CRIM 208,1R,Crime in America,3,NULL,Lec,MWF,1100-1150,LUTR 269,"Briddell, Laine",0,Closed,2022,Spring
8522,CRIM 208,2R,Crime in America,3,NULL,Lec,MWF,1200-1250,LUTR 269,"Briddell, Laine",0,Closed,2022,Spring
8596,FNAR 377,1,Contemporary Art,3,NULL,Lec,MWF,1300-1350,TFAC 205,"Richardson, Margaret",0,Closed,2022,Spring
8525,CRIM 357,1,Incarceration and Punishment,3,NULL,Lec,TR,0800-0915,LUTR 167,"Keener, Steven",0,Closed,2022,Spring
8526,CRIM 357,2,Incarceration and Punishment,3,NULL,Lec,TR,1500-1615,FORBES 2070A,"Keener, Steven",0,Closed,2022,Spring
8527,CRIM 390,1,Criminological Theory,3,NULL,Lec,TR,1100-1215,LUTR 264,"Briddell, Laine",0,Closed,2022,Spring
8528,CRIM 491,1,Internship in Criminology,3,NULL,Int,NULL,NULL,ARR ,"Briddell, Laine",0,Closed,2022,Spring
8529,GEOG 210,1,Intro to Human Geography,3,NULL,Lec,MWF,1100-1150,LUTR 167,"Bono, Federica",0,Closed,2022,Spring
8530,GEOG 210,2,Intro to Human Geography,3,NULL,Lec,MWF,1400-1450,LUTR 167,"Bono, Federica",0,Closed,2022,Spring
8534,SOCL 205,1C,Sociological Foundations,3,NULL,Lec,MWF,0800-0850,LUTR 242,"Lewis, Michael",3,Open,2022,Spring
8536,SOCL 205,2,Sociological Foundations,3,NULL,Lec,MWF,0900-0950,LUTR 242,"Lewis, Michael",0,Closed,2022,Spring
8539,SOCL 303,1,Reimagining the Family,3,NULL,Lec,TR,1100-1215,LUTR 170,"Docka-Filipek, Danielle",0,Closed,2022,Spring
8540,SOCL 306,1,Social Psychology,3,NULL,Lec,MWF,1300-1350,FORBES 2074,"Hart, Jason",8,Open,2022,Spring
8541,SOCL 306,2,Social Psychology,3,NULL,Lec,MWF,1500-1550,FORBES 2070A,"Hart, Jason",15,Open,2022,Spring
8542,SOCL 314,1,"Education, Culture and Society",3,NULL,Lec,TR,1330-1445,LUTR 167,"Rochmes, Jane",0,Closed,2022,Spring
8543,SOCL 314,2,"Education, Culture and Society",3,NULL,Lec,MW,1600-1715,LUTR 376,"Baird, Andrew",4,Open,2022,Spring
8687,MUSC 138,1,Elmntry Keybrd Skills: Musc Th,1,NULL,Lab,TR,1630-1745,FERG 213,"Staff, CNU",5,Open,2022,Spring
8666,MUSC 014,10,Voice Masterclass,0,NULL,Lab,NULL,NULL,ARR ,"Holland, Rachel",0,Closed,2022,Spring
8668,MUSC 014,12,Woodwinds Masterclass,0,NULL,Lab,NULL,NULL,ARR ,"Longmire, Kelly",0,Closed,2022,Spring
8669,MUSC 014,13,Woodwinds Masterclass,0,NULL,Lab,NULL,NULL,ARR ,"Kim, Bokyung",0,Closed,2022,Spring
8670,MUSC 014,14,Organ Masterclass,0,NULL,Lab,NULL,NULL,ARR ,"Kwan, Kevin",0,Closed,2022,Spring
8671,MUSC 014,15,Guitar Masterclass,0,NULL,Lab,NULL,NULL,ARR ,"Sully, Ballard",0,Closed,2022,Spring
8676,MUSC 104,1,Chamber Ensemble,1,NULL,Lab,NULL,NULL,ARR ,"Corbin, Benjamin",17,Open,2022,Spring
8677,MUSC 104,2,Chamber Ensemble,1,NULL,Lab,MF,1200-1250,FERG 213,"Tfirn, Maxwell",4,Open,2022,Spring
8679,MUSC 107,1,Opera CNU,1,NULL,Lab,MWF,1500-1700,FERG A183,"McGuire, John",13,Open,2022,Spring
8680,MUSC 108,1,Jazz Combo,1,NULL,Lab,MWF,1400-1450,FERG R106,"Lundgren, Carl",13,Open,2022,Spring
8682,MUSC 115,1,Keyboard Skills I,1,NULL,Lab,TR,1100-1215,FERG 213,"Tomassetti, Elizabeth",13,Open,2022,Spring
8683,MUSC 115,2,Keyboard Skills I,1,NULL,Lab,TR,0800-0915,FERG 213,"Tomassetti, Elizabeth",12,Open,2022,Spring
8684,MUSC 124,1,Percussion Ensemble,1,NULL,Lab,MWF,1500-1550,FERG R106,"Amman, Scott",13,Open,2022,Spring
8685,MUSC 125,1,Elementary Improv Skills I,1,NULL,Lab,MWF,0800-0850,FERG A183,"Sully, Ballard",9,Open,2022,Spring
8686,MUSC 135,1,Music Fundamentals,1,NULL,Lec,M,1100-1150,FERG 210,"McNeill, Michael",18,Open,2022,Spring
8665,MUSC 014,9,Voice Masterclass,0,NULL,Lab,NULL,NULL,ARR ,"McGuire, John",0,Closed,2022,Spring
